time,open,high,low,close,volume
2026-05-01T00:00:00+00:00,4626.435,4626.845,4625.795,4625.905,0
2026-05-01T00:01:00+00:00,4626.038,4628.085,4626.038,4627.545,0
2026-05-01T00:02:00+00:00,4627.505,4628.438,4627.425,4627.675,0
2026-05-01T00:03:00+00:00,4627.635,4627.635,4623.865,4624.475,0
2026-05-01T00:04:00+00:00,4624.525,4625.775,4624.185,4624.455,0
2026-05-01T00:05:00+00:00,4624.555,4625.825,4624.175,4625.655,0
2026-05-01T00:06:00+00:00,4625.685,4626.265,4624.985,4625.445,0
2026-05-01T00:07:00+00:00,4625.425,4625.445,4621.885,4622.365,0
2026-05-01T00:08:00+00:00,4622.325,4622.345,4619.615,4619.785,0
2026-05-01T00:09:00+00:00,4619.765,4621.495,4619.765,4620.715,0
2026-05-01T00:10:00+00:00,4620.665,4621.335,4619.895,4620.875,0
2026-05-01T00:11:00+00:00,4620.905,4621.605,4620.655,4621.535,0
2026-05-01T00:12:00+00:00,4621.505,4622.085,4621.485,4621.985,0
2026-05-01T00:13:00+00:00,4621.955,4622.845,4621.955,4622.575,0
2026-05-01T00:14:00+00:00,4622.595,4623.105,4621.325,4621.485,0
2026-05-01T00:15:00+00:00,4621.455,4622.055,4620.925,4621.925,0
2026-05-01T00:16:00+00:00,4621.965,4622.025,4621.215,4621.735,0
2026-05-01T00:17:00+00:00,4621.705,4622.035,4621.275,4621.465,0
2026-05-01T00:18:00+00:00,4621.445,4622.685,4621.285,4622.505,0
2026-05-01T00:19:00+00:00,4622.475,4623.005,4622.465,4622.895,0
2026-05-01T00:20:00+00:00,4622.775,4622.775,4622.075,4622.075,0
2026-05-01T00:21:00+00:00,4622.105,4623.195,4620.915,4621.045,0
2026-05-01T00:22:00+00:00,4620.955,4621.435,4620.645,4621.045,0
2026-05-01T00:23:00+00:00,4621.075,4621.555,4620.905,4621.385,0
2026-05-01T00:24:00+00:00,4621.365,4621.455,4620.855,4621.245,0
2026-05-01T00:25:00+00:00,4621.335,4621.485,4620.735,4621.205,0
2026-05-01T00:26:00+00:00,4621.225,4621.775,4619.025,4619.135,0
2026-05-01T00:27:00+00:00,4619.165,4619.578,4617.995,4618.285,0
2026-05-01T00:28:00+00:00,4618.255,4619.465,4617.935,4619.025,0
2026-05-01T00:29:00+00:00,4618.905,4619.475,4616.865,4617.235,0
2026-05-01T00:30:00+00:00,4617.215,4617.775,4614.448,4615.845,0
2026-05-01T00:31:00+00:00,4615.805,4615.905,4614.425,4615.905,0
